Rk,Squad,Season,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper,Notes
8,Chicago Fire,2019,34,10,12,12,55,47,+8,42,53.2,44.6,+8.6,+0.26,12324,C.J. Sapong - 13,Kenneth Kronholm,
9,Montreal Impact,2019,34,12,5,17,47,60,-13,41,38.4,50,-11.6,-0.34,16171,Saphir Taïder - 9,Evan Bush,
10,Columbus Crew,2019,34,10,8,16,39,47,-8,38,37.1,41.8,-4.8,-0.14,14856,Gyasi Zardes - 13,Zack Steffen,
11,Orlando City,2019,34,9,10,15,44,52,-8,37,43.6,42.4,+1.1,+0.03,22761,Nani - 12,Brian Rowe,
12,FC Cincinnati,2019,34,6,6,22,31,75,-44,24,33,59.2,-26.2,-0.77,27336,Allan Cruz - 7,Spencer Richey,
1,Los Angeles FC,2019,34,21,9,4,85,37,+48,72,77.3,36.5,+40.8,+1.20,22251,Carlos Vela - 34,Tyler Miller,→ Conference Semifinals
2,Seattle,2019,34,16,8,10,52,49,+3,56,48.9,46.5,+2.4,+0.07,40247,Raúl Ruidíaz - 11,Stefan Frei,→ Round 1
3,Real Salt Lake,2019,34,16,5,13,46,41,+5,53,36.6,40.4,-3.8,-0.11,18121,Albert Rusnák - 10,Nick Rimando,→ Round 1
4,Minnesota Utd,2019,34,15,8,11,52,43,+9,53,52.8,44.5,+8.3,+0.24,19723,Darwin Quintero - 10,Vito Mannone,→ Round 1
5,LA Galaxy,2019,34,16,3,15,58,59,-1,51,56.3,62.6,-6.4,-0.19,23205,Zlatan Ibrahimović - 30,David Bingham,→ Round 1
6,Portland Timbers,2019,34,14,7,13,52,49,+3,49,52.9,56.3,-3.5,-0.1,25218,Jeremy Ebobisse Brian Fernández - 11,Steve Clark,→ Round 1
7,FC Dallas,2019,34,13,9,12,54,46,+8,48,49.6,43.8,+5.8,+0.17,14842,Jesus Ferreira - 8,Jesse Gonzalez,→ Round 1
8,San Jose,2019,34,13,5,16,52,55,-3,44,52.3,47.2,+5.1,+0.15,18781,Chris Wondolowski - 15,Mario Daniel Vega,
9,Colorado Rapids,2019,34,12,6,16,58,63,-5,42,51,56.8,-5.8,-0.17,14284,Kei Kamara - 14,Tim Howard,
10,Houston Dynamo,2019,34,12,4,18,49,59,-10,40,47.5,50.7,-3.2,-0.09,15674,Mauro Manotas - 13,Joe Willis,
11,Sporting KC,2019,34,10,8,16,49,67,-18,38,57.9,51.3,+6.6,+0.19,18601,Felipe Gutiérrez - 12,Tim Melia,
12,Vancouver,2019,34,8,10,16,37,59,-22,34,34.5,60.4,-25.9,-0.76,19514,Fredy Montero - 8,Maxime Crépeau,
1,Philadelphia,2020,23,14,5,4,44,20,+24,47,35.5,25.5,+10.0,+0.44,,Sergio Santos Gomes Kacper Przybyłko - 8,Andre Blake,→ First Round
2,Toronto FC,2020,23,13,5,5,33,26,+7,44,35.9,25.2,+10.6,+0.46,2297,Alejandro Pozuelo Ayo Akinola - 9,Quentin Westberg,→ First Round
3,Columbus Crew,2020,23,12,5,6,36,21,+15,41,30.8,29.9,+0.9,+0.04,1861,Gyasi Zardes - 12,Eloy Room,→ First Round
4,Orlando City,2020,23,11,8,4,40,25,+15,41,32,25.7,+6.3,+0.27,2321,Chris Mueller - 10,Pedro Gallese,→ First Round
5,NYCFC,2020,23,12,3,8,37,25,+12,39,37.9,28.2,+9.7,+0.42,,Valentín Castellanos - 6,Sean Johnson,→ First Round
6,NY Red Bulls,2020,23,9,5,9,29,31,-2,32,28.1,34,-5.9,-0.26,1570,Brian White - 5,Ryan Meara,→ First Round
7,Nashville,2020,23,8,8,7,24,22,+2,32,23.9,25.4,-1.5,-0.06,6367,Hany Mukhtar Daniel Armando Ríos - 4,Joe Willis,→ Play-In Round
8,New England,2020,23,8,8,7,26,25,+1,32,33,26.9,+6.1,+0.26,1529,Teal Bunbury - 8,Matt Turner,→ Play-In Round
9,Montreal Impact,2020,23,8,2,13,33,43,-10,26,27.6,38.7,-11,-0.48,1616,Romell Quioto - 8,Clément Diop,→ Play-In Round
10,Inter Miami,2020,23,7,3,13,25,35,-10,24,28.8,29.8,-1,-0.04,,Lewis Morgan - 5,Luis Robles,→ Play-In Round
11,Chicago Fire,2020,23,5,8,10,33,39,-6,23,38.9,35.4,+3.5,+0.15,,Robert Berić - 12,Bobby Shuttleworth,
12,Atlanta Utd,2020,23,6,4,13,23,30,-7,22,21.6,28.9,-7.4,-0.32,6275,Jon Gallagher - 4,Brad Guzan,
13,D.C. United,2020,23,5,6,12,25,41,-16,21,21.8,36.9,-15.1,-0.65,2843,Ola Kamara - 4,Bill Hamid,
