Squad,Season,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
Los Angeles FC,2018,26,34,16.3,10.5,8.79,5.21,2.29,6.41,16.8,38.1,10.4,124.9,32.6,26.1,42,53.5,29.4,12.8,2.82,0.21,10,9.5,25.8,15.4,0.35
Minnesota Utd,2018,26,34,19.6,13.1,11.2,6.38,1.97,7.06,19.4,36.3,12.4,178.4,45.3,25.4,70.7,75.2,32.4,15.6,3.91,0.15,11.7,9.94,29.5,23.6,0.24
Montreal Impact,2018,26,34,16.8,11.3,9.18,5.85,1.79,5.97,16.8,35.6,10.8,167.7,43.7,26,61.4,76.5,29.7,11.4,2.21,0.09,9.21,10.2,27,18.6,0.41
New England,2018,26,34,17.2,10.7,8.41,6.59,2.18,5.62,17.2,32.6,11.6,165.9,44,26.5,49.9,72.3,43.7,14.8,3.21,0.03,11.6,7.85,25,21.4,0.38
NY Red Bulls,2018,26,34,19.3,11.9,7.94,8.26,3.06,6.24,18.6,33.6,12.3,175,52.8,30.2,52.2,80.5,42.2,17.4,2.53,0.06,14.8,10.7,30,21.8,0.18
NYCFC,2018,26,34,17.3,11.9,8.56,6.32,2.44,4.97,15.7,31.6,10.7,147.1,42.9,29.1,45.8,66.2,35.1,14.2,3.03,0.03,11.2,7.82,25.1,21.4,0.21
Orlando City,2018,26,34,18.1,11.9,10.1,5.41,2.62,6.56,18.3,35.9,11.7,148.6,39.7,26.7,58,60.7,29.9,12.9,2.79,0.09,10.1,8.38,26.5,20.6,0.29
Philadelphia,2018,26,34,15.3,10.4,7.41,5.97,1.88,5.21,16.5,31.6,11.3,138.5,34.9,25.2,42.9,61.4,34.2,14.1,2.76,0.09,11.4,8.97,24.2,16.9,0.12
Portland Timbers,2018,26,34,15.8,9.91,8.47,5.5,1.85,5.59,15.8,35.4,10.2,158.5,39.2,24.7,63.5,66.2,28.8,14.4,2.91,0.03,11.5,7.71,23.5,22.4,0.41
Real Salt Lake,2018,26,34,16.8,10.3,8.03,6.97,1.76,5.53,15.5,35.6,10,149.6,37.1,24.8,48.4,66.4,34.9,11.8,2.94,0.21,8.85,7.41,24.2,21,0.35
San Jose,2018,26,34,16.5,10.2,10.1,4.62,1.82,6.06,16.6,36.5,10.5,157.9,37.1,23.5,62.4,66.6,29,13.9,3.62,0.18,10.3,8.97,25.5,22.9,0.32
Seattle,2018,26,34,18.5,11.6,9.12,7.18,2.21,6.15,17.9,34.3,11.8,161.1,40.4,25.1,58.5,71.3,31.3,14.8,3.15,0.09,11.6,9.12,27.6,20.8,0.24
Sporting KC,2018,26,34,14.9,10,6.94,5.62,2.35,5.79,16.1,35.9,10.3,142.3,37.9,26.6,43.8,60.8,37.7,11.5,2.91,0.06,8.62,7.06,22,18.6,0.29
Toronto FC,2018,26,34,14.9,9.79,7.21,5.53,2.12,4.56,14.3,32,9.71,162.1,44.7,27.6,52.6,73.1,36.4,12.7,2.79,0.03,9.94,7.41,22.3,18.2,0.18
Vancouver,2018,26,34,16.8,11.3,9.91,5.47,1.44,5.06,17.1,29.6,12,172.9,39,22.6,71.7,72.4,28.8,15.6,4.18,0.12,11.4,8.85,25.7,25.2,0.12
