Squad,season,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Minnesota Utd,2019,26,34,1.62,0.12,0.06,11.6,9.47,1.53,12.1,8.71,12.1,0.12,0.12,0,89,11.9,14.1,45.8
Atlanta Utd,2019,24,34,1.65,0.03,0,10.5,12,1.65,12.1,7.76,11.1,0.24,0.12,0.06,88.7,12,9.94,54.7
Montreal Impact,2019,29,34,1.62,0.09,0,11.4,11.5,1.47,11.1,8.29,11.4,0.18,0.21,0.03,88,12.4,12.5,49.8
Philadelphia,2019,28,34,1.71,0.09,0.03,11.6,9.79,2.41,13.4,8.82,13,0.12,0.18,0.03,87.7,13.5,13.9,49.3
Portland Timbers,2019,27,34,2.21,0.18,0.06,13.6,9.32,1.62,16.7,8.44,10.8,0.06,0.21,0.03,87.7,12.8,12.1,51.4
Seattle,2019,29,34,1.56,0.12,0.06,10.3,12.2,1.68,12.8,7.5,10.5,0.09,0.15,0.06,84.8,11.6,12.8,47.5
D.C. United,2019,26,34,1.44,0.15,0,11.6,11.5,1.53,10.6,7.97,11.7,0.06,0.15,0.03,84.7,15.6,13.8,53
Columbus Crew,2019,33,34,1.68,0.03,0,11.9,10.5,1.65,11.7,8.38,11,0.15,0.15,0,84.6,12.6,13.3,48.5
Orlando City,2019,27,34,1.79,0.09,0,11.2,9.74,1.65,10.8,6.91,10.6,0.09,0.03,0.06,83.8,12.2,12.2,50
Chicago Fire,2019,26,34,1.82,0.09,0,12.1,10.3,2.03,13.3,9.24,10.5,0.06,0.12,0,83.3,11.7,11.9,49.4
Toronto FC,2019,29,34,1.47,0.09,0.06,9.91,10.8,1.88,12.6,6.71,9.59,0.15,0.32,0.06,82.7,10.4,10.9,49
San Jose,2019,25,34,2.12,0.15,0.06,12.7,12.3,2.35,14.9,9.94,11.5,0,0.18,0.06,82.5,8.82,10.7,45.2
Sporting KC,2019,29,34,2.18,0.21,0.06,12.4,11.8,1.47,12.1,6.68,9.91,0.24,0.12,0,82.5,12,12.8,48.4
FC Cincinnati,2019,30,34,1.68,0.12,0.03,11.1,11.5,2.09,9.44,9.09,10.5,0.09,0.21,0.03,82.5,15.4,14,52.4
Real Salt Lake,2019,25,34,1.91,0.15,0.03,11.4,11.7,2.59,9.59,8.35,9.5,0.12,0.12,0.03,80.7,13.4,11.5,53.8
Colorado Rapids,2019,24,34,2.06,0.24,0.06,12.1,10.4,1.47,12.5,9.12,10.6,0.18,0.24,0.21,80.5,13.6,13.5,50.2
LA Galaxy,2019,26,34,2.06,0.09,0,11.5,8.62,2.53,16.3,8.38,11.1,0.21,0.24,0.09,79.5,15.7,10.6,59.7
Houston Dynamo,2019,26,34,1.94,0.12,0.03,12.4,11.9,2.06,11.1,6.41,10.8,0.15,0.18,0,77.5,9.44,12.9,42.3
FC Dallas,2019,27,34,1.97,0.03,0,12.8,11.8,1.59,11.6,8.24,12,0.12,0.24,0,77.1,9.71,10.1,49.1
Vancouver,2019,26,34,1.79,0.03,0,10.7,11.2,1.29,10.2,8.91,9.35,0.15,0.24,0.12,76.1,11.3,13.3,46
Average,2019,26.92,34.00,1.82,0.11,0.03,11.82,11.18,1.86,12.07,8.31,11.14,0.14,0.18,0.05,85.75,12.71,12.71,49.91
Atlanta Utd,2018,26,34,1.74,0.09,0.03,10.5,11.3,2.41,14.9,6.82,10.4,0.29,0.21,0,89.1,6.12,5.79,51.4
Chicago Fire,2018,31,34,1.79,0.09,0.03,12.5,9.26,2.59,9.91,8.97,10.1,0.12,0.18,0.03,83.3,8.91,10.2,46.5
Colorado Rapids,2018,29,34,2.65,0.18,0,13.6,11.5,2.06,9.18,8.32,8.21,0.15,0.15,0.06,83.1,9.35,10.1,48.2
Columbus Crew,2018,27,34,1.41,0.09,0,10.9,10.4,2.44,14,7.94,9.85,0.21,0.15,0.06,87.6,9.56,8.85,51.9
D.C. United,2018,27,34,1.24,0.06,0,11.4,11.8,1.56,9.5,8.18,9.47,0.09,0.06,0.03,92,11.2,9.5,54.2
FC Dallas,2018,27,34,1.47,0.12,0.03,10.5,10.7,2.35,12,8.53,11.9,0.21,0.18,0.03,83.4,8.32,10.5,44.1
Houston Dynamo,2018,27,34,1.97,0.21,0.06,12.4,10.2,1.47,12.8,6.74,10.5,0.12,0.29,0.06,86.2,9.09,11.1,45.1
LA Galaxy,2018,24,34,2.03,0.09,0.06,12.7,10,2.35,12.8,8.79,10.9,0.15,0.24,0.09,88.6,13.7,11.7,53.9
Los Angeles FC,2018,27,34,1.18,0.12,0.06,10.6,13.4,1.5,10.8,9.5,10.5,0.12,0.21,0,86.9,7.79,6.71,53.8
Minnesota Utd,2018,30,34,2.03,0.21,0.09,12.9,10.3,2.24,11.5,9.94,13.1,0,0.15,0.03,90.4,8.35,11.6,41.8
Montreal Impact,2018,26,34,1.38,0.09,0,11.4,11.5,2.62,9.88,10.2,11.3,0.15,0.18,0.09,89.1,8.44,8.94,48.6
New England,2018,25,34,2.38,0.12,0.06,15.3,11.1,1.35,12.7,7.85,10.7,0.12,0.09,0.09,106.9,10.8,10.9,49.6
